#SampleID	Sample	Event	Sport	Age	Date	City	State	Run	Type
CP.AE050	AE050	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT012	LT012	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AQ031	AQ031	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.FY015	FY015	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AB084	AB084	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.FV098	FV098	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
CP.FV091	FV091	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
CP.FV099	FV099	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
SH.FV091	FV091	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
SH.FV098	FV098	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
SH.FV096	FV096	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
SH.FV099	FV099	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
SH.FV090	FV090	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
CP.FV094	FV094	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
CP.FV096	FV096	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
CP.FV093	FV093	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
SH.FV095	FV095	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
CP.FV095	FV095	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
CP.FV090	FV090	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	phone
SH.FV094	FV094	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
SH.FV093	FV093	Broward	None	Adult	8/14/2013	Fort Lauderdale	FL	2	shoe
SH.LA093	LA093	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
SH.LA100	LA100	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
CP.LA099	LA099	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
CP.LA097	LA097	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
SH.LA099	LA099	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
CP.LA095	LA095	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
SH.LA098	LA098	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
CP.LA093	LA093	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
CP.LA091	LA091	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
SH.LA097	LA097	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
SH.LA091	LA091	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
CP.LA098	LA098	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
CP.LA094	LA094	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
SH.LA095	LA095	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
CP.LA092	LA092	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
SH.LA092	LA092	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
CP.LA100	LA100	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
CP.LA096	LA096	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	phone
SH.LA094	LA094	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
SH.LA096	LA096	ChapmanHill	None	Kid	10/4/2013	Salem	OR	1	shoe
CP.AG097	AG097	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	phone
SH.AG097	AG097	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	shoe
CP.AG082	AG082	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	phone
SH.AG084	AG084	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	shoe
SH.AG082	AG082	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	shoe
CP.AG083	AG083	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	phone
SH.AG088	AG088	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	shoe
SH.AG083	AG083	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	shoe
CP.AG088	AG088	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	phone
CP.AG084	AG084	CHF	None	Adult	5/23/2013	Philadelphia	PA	1	phone
CP.AQ077	AQ077	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
CP.AQ070	AQ070	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
SH.AQ071	AQ071	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
CP.AQ073	AQ073	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
CP.AQ074	AQ074	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
CP.AQ066	AQ066	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
SH.AQ073	AQ073	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
CP.AQ061	AQ061	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
CP.AQ075	AQ075	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
CP.AQ071	AQ071	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
SH.AQ068	AQ068	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
CP.AQ080	AQ080	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
SH.AQ078	AQ078	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
SH.AQ065	AQ065	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
CP.AQ079	AQ079	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
SH.AQ067	AQ067	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
SH.AQ077	AQ077	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
SH.AQ070	AQ070	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	shoe
CP.AQ065	AQ065	ColeMiddle	None	Kid	10/10/2013	Fountain	CO	1	phone
