	Age	City	Date	Event	Gender	Hand	Module	Run	Sample	Sport	State	Study	Surface	Time	Touches	Type	Wash
CPJ_399	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_406	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_413	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_420	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_4	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_11	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_25	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_32	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_39	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_46	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_53	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_60	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_67	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_74	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_81	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_88	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_95	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_102	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_109	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_116	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_137	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_144	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_151	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_158	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_165	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_172	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_179	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_186	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_193	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_200	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_207	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_tip	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_3	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_10	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_17	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_24	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_31	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_38	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_45	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_52	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_59	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_66	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_73	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_80	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_87	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_94	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_101	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_108	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_115	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_129	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_136	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_143	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_150	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_157	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_164	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_171	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_178	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_185	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
CPJ_192	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	right_shoe_heel	<map object at 0x2ba0cbeaaf60>		shoe	
